STN	YYYYMMDD	FF
321	19960715	50
321	19960715	60
321	19960715	60
321	19960715	70
321	19960715	90
321	19960715	90
321	19960715	100
321	19960715	80
321	19960715	90
321	19960715	80
321	19960715	80
321	19960715	90
321	19960716	80
321	19960716	90
321	19960716	80
321	19960716	90
321	19960716	70
321	19960716	60
321	19960716	80
321	19960716	90
321	19960716	70
321	19960716	70
321	19960716	80
321	19960716	70
321	19960716	80
321	19960716	90
321	19960716	90
321	19960716	90
321	19960716	90
321	19960716	90
321	19960716	90
321	19960716	90
321	19960716	90
321	19960716	80
321	19960716	80
321	19960716	80
321	19960717	70
321	19960717	70
321	19960717	60
321	19960717	60
321	19960717	60
321	19960717	60
321	19960717	70
321	19960717	60
321	19960717	60
321	19960717	60
321	19960717	70
321	19960717	60
321	19960717	60
321	19960717	70
321	19960717	70
321	19960717	80
321	19960717	70
321	19960717	70
321	19960717	60
321	19960717	60
321	19960717	50
321	19960717	40
321	19960717	30
321	19960717	20
321	19960718	20
321	19960718	30
321	19960718	40
321	19960718	50
321	19960718	50
321	19960718	60
321	19960718	50
321	19960718	60
321	19960718	70
321	19960718	70
321	19960718	60
321	19960718	50
321	19960718	60
321	19960718	60
321	19960718	50
321	19960718	50
321	19960718	60
321	19960718	60
321	19960718	60
321	19960718	50
321	19960718	50
321	19960718	60
321	19960718	50
321	19960718	40
321	19960719	40
321	19960719	40
321	19960719	40
321	19960719	30
321	19960719	30
321	19960719	40
321	19960719	20
321	19960719	30
321	19960719	20
321	19960719	30
321	19960719	20
321	19960719	20
321	19960719	20
321	19960719	40
321	19960719	50
321	19960719	60
321	19960719	50
321	19960719	50
321	19960719	50
321	19960719	50
321	19960719	50
321	19960719	40
321	19960719	50
321	19960719	50
321	19960720	50
321	19960720	40
321	19960720	30
321	19960720	40
321	19960720	40
321	19960720	40
321	19960720	30
321	19960720	30
321	19960720	30
321	19960720	30
321	19960720	30
321	19960720	30
321	19960720	30
321	19960720	30
321	19960720	40
321	19960720	40
321	19960720	50
321	19960720	50
321	19960720	50
321	19960720	50
321	19960720	50
321	19960720	50
321	19960720	50
321	19960720	60
321	19960721	40
321	19960721	40
321	19960721	30
321	19960721	20
321	19960721	20
321	19960721	10
321	19960721	10
321	19960721	10
321	19960721	20
